product_name,price,product_image,category,sold,disccount,free_ongkir,cod
[ PPLUS ] Kipas Angin Pendingin Mini AC Portable Air Cooler Mobil Dan Ruangan  /Kipas  Angin AC Humidifier PORTABLE AIR,65.000,https://down-id.img.susercontent.com/file/id-11134207-7qul3-lfw4on2auwdz21_tn,elektronik,10RB+ Terjual,-64%,true,true
INFIILAPAN Kipas Angin Mini Portable USB Charge Cute | Windy Kipas Angin Kecil Mini Fan Genggam,17.999,https://down-id.img.susercontent.com/file/id-11134207-7r98s-lo4wskr092x688_tn,elektronik,10RB+ Terjual,-60%,true,true
Luna Life Blender Capsule 700mL - Penggiling Daging Buah & Sayur,189.700,https://down-id.img.susercontent.com/file/id-11134207-7r98q-lni6ovs3r0y1ef_tn,elektronik,"2,1RB Terjual",,true,true
LAMPU LED PANALED PREMIUM 5 Watt/10 Watt/15 Watt/20 Watt/30 Watt Cahaya Putih,6.000,https://down-id.img.susercontent.com/file/id-11134207-7r98u-llaoekfrx93gea_tn,elektronik,10RB+ Terjual,,true,true
Lampu Philips LED Essential 3W 5W 7W 9W 11W 13W 15W Bulb Mycare 3W 4W 6W 8W 10W 12W Putih Kuning Grosir 3 4 5 6 7 8 9 10 11 12 13 15 W Watt,16.445,https://down-id.img.susercontent.com/file/087e4aebbbd5ecbd9f73fe7ab1cf77fc_tn,elektronik,10RB+ Terjual,-45%,true,true
WEWANT Gamepad Android Bluetooth Wireless X3 IOS Windows Controller Joystick,75.900,https://down-id.img.susercontent.com/file/sg-11134201-7rbki-lmpjm0aiyt6zfe_tn,elektronik,10RB+ Terjual,-53%,true,true
Amplifier BT-298A Bluetooth EQ Audio Amplifier Karaoke Home Theater FM Radio 600W-BT298A,169.500,https://down-id.img.susercontent.com/file/sg-11134201-23010-krg631v8fumv94_tn,elektronik,"3,5RB Terjual",-8%,true,true
( 60 pcs ) Baterai AA / AAA Batre A2 / A3 PREMIUM QUALITY+,36.000,https://down-id.img.susercontent.com/file/sg-11134201-23010-yrwt9h25g1lv6a_tn,elektronik,10RB+ Terjual,-38%,true,true
"Kipas Pendingin Udara Portabel, Mini Ac Kipas kabut Portable / Kipas Angin Ac Mini / Kipas Ac Portable",57.200,https://down-id.img.susercontent.com/file/id-11134207-7qul3-lkd7427r0krue3_tn,elektronik,"3,5RB Terjual",-70%,true,true
KIPAS ANGIN JEPIT 20W 3IN1 / MINI FAN JEPIT / CLIP FAN 20 WATT / KIPAS ANGIN DUDUK KIPAS JEPIT KIPAS GANTUNG,48.500,https://down-id.img.susercontent.com/file/id-11134207-7qul6-lj9vx0woh38jaa_tn,elektronik,10RB+ Terjual,-35%,true,true
Hangyan Blender Daging Chopper Meat Grinder Gilingan Daging Baja Serbaguna Anti karat,61.900,https://down-id.img.susercontent.com/file/id-11134207-7r98r-llu8sqrbv5amf7_tn,elektronik,"8,6RB Terjual",-46%,true,true
Lampu LED 5W 10W 20W 30W Bulb Jumbo Tabung 30W Kapsul Super Terang Putih,10.500,https://down-id.img.susercontent.com/file/6bf2cd4f88553f34638aaab0139e48d9_tn,elektronik,10RB+ Terjual,-43%,true,true
KIPAS PENDINGIN MINI AC PORTABLE AIR COOLER MOBIL DAN RUANGAN | AC Portable Air Cooler AC Mini Super Dingin,86.000,https://down-id.img.susercontent.com/file/id-11134207-7qul6-lhhmbdu3d463f2_tn,elektronik,10RB+ Terjual,,true,true
GPU Cloud Gaming Android IOS Windows Xbox One Xbox Series X Series S,17.000,https://down-id.img.susercontent.com/file/cd4375c739c25b95d1152e79f6f6f934_tn,elektronik,10RB+ Terjual,,true,true
Market1688  Lampu Tumblr Kawat Mini 1 2 3 5 Meter Lampu Hias Dekorasi Gift Box Bucket Bunga Balon Fairy Light Led Murah,1.922,https://down-id.img.susercontent.com/file/id-11134201-23030-lmt22689fvova9_tn,elektronik,10RB+ Terjual,-36%,true,true
PROMO Ac Mini Humidifier Cooler Portable + Kipas Angin Pendingin Ruangan Mini,60.500,https://down-id.img.susercontent.com/file/id-11134207-7quky-li16atzoxyl7f3_tn,elektronik,"2,7RB Terjual",-66%,true,true
Goto Aron x Shopee Pompa Galon elektrik Gallon Dispenser Air Minum,29.900,https://down-id.img.susercontent.com/file/id-11134207-7qukx-li2kzy7wstwqf8_tn,elektronik,10RB+ Terjual,-70%,true,true
Lampu LED Neon Flex Strip Light Flexible 220V IP65 Waterproof / Socket Terpisah,8.888,https://down-id.img.susercontent.com/file/sg-11134201-22120-8z5k3703eskv40_tn,elektronik,10RB+ Terjual,-50%,true,true
Panci Listrik Serbaguna Elektrik Cooker Multifungsi Panci Kukus Elektrik / Panci Listrik Multifunctional Electric Frying Pan,49.999,https://down-id.img.susercontent.com/file/sg-11134201-7qvf8-lkgi748rurlz48_tn,elektronik,"8,7RB Terjual",-9%,true,true
[ PPLUS ] Panci Listrik Serbaguna Hemat Listrik 450 Wat Anti Lengket /  Elektrik Cooker Multifungsi Panci Kukus Elektrik /Mug listrik 450W Bisa Pakai Di Kos / Teko listrik /electric heating cup / Panci Elektrik Lapisan  Anti Lengket,57.000,https://down-id.img.susercontent.com/file/id-11134207-7qukx-li3z0yhgz0ml10_tn,elektronik,10RB+ Terjual,-56%,true,true
LAMPU DOWNLIGHT LED 3 WARNA 6WATT/ KUNING BIRU UNGU / PUTIH KUNING WARMWHITE /PANEL LED/LAMPU PLAFON,8.500,https://down-id.img.susercontent.com/file/a684285aebb8de5b64a763cec9417b20_tn,elektronik,10RB+ Terjual,-66%,true,true
KIPAS ANGIN DUDUK/MEJA AOYAMA DESKFAN 6” INCH,62.500,https://down-id.img.susercontent.com/file/id-11134207-7qul4-lk7medhi0oiyd7_tn,elektronik,"3,5RB Terjual",,true,true
KIPAS ANGIN KARATER 10INCH KIPAS MEJA LISTRIK TABLE FAN LUCU KIPAS KARAKTER,45.500,https://down-id.img.susercontent.com/file/id-11134207-7r98u-loutcwlqsdwsec_tn,elektronik,"6,2RB Terjual",-17%,true,true
Kipas Angin besi TORNADO 12 inch 2 in1 AOYAMA Bisa Duduk  meja  Bisa Dinding Garansi Resmi Harga murah berkualitas,135.500,https://down-id.img.susercontent.com/file/id-11134207-7qul5-lfm165euodt791_tn,elektronik,"3,5RB Terjual",-38%,true,true
( PPLUS ) KIPAS ANGIN PENDINGIN MINI AC \ AIR COOLER MOBIL DAN RUANGAN  / KIPAS ANGIN PENDINGIN SPRAY AIR,67.000,https://down-id.img.susercontent.com/file/id-11134207-7qul3-li0hoxn9hmnk91_tn,elektronik,10RB+ Terjual,-58%,true,true
VISHAL Combo 3IN1 (COD) Stainless Blender Daging Penggiling +1Set Pisau + 4Pcs Mangkuk Set,105.000,https://down-id.img.susercontent.com/file/sg-11134201-7rblk-lmf0mmj2ov55bb_tn,elektronik,"6,2RB Terjual",-34%,true,true
Paket Lengkap Lampu Neon Flex 220v Flexible 1 2 3 4 5 meter Waterproof Strip Outdoor Untuk Buat Huruf Dekorasi kamar tidur cafe rumah Lentur Detak jantung tempel dinding hias kamar aestetic,58.000,https://down-id.img.susercontent.com/file/id-11134207-7r98y-lmeca0e27fa715_tn,elektronik,"5,8RB Terjual",-52%,true,true
