product_name,price,product_image,category,sold,disccount,free_ongkir,cod
New!Hologram Curly Puff - Softcase Fullcover for iPhone 7 8 SE2020 7+ 8+ X XS XR XSMAX 11 11PRO 11PROMAX 12 13 PRO PROMAX 14 14PLUS 14PRO 14PROMAX,19.200,https://down-id.img.susercontent.com/file/sg-11134201-22110-jpoq8k0yhakv36_tn,handphone-aksesoris,10RB+ Terjual,-76%,true,true
1 PCS BUAT 1 KABEL / SUPER TEBAL & MEWAH / PELILIT KABEL SPIRAL WARNA PUTIH EMAS / PELINDUNG CABLE HP CHARGER UNIVERSAL / CORD PROTECTOR,6.500,https://down-id.img.susercontent.com/file/sg-11134201-22120-zpvs4h4zqskv57_tn,handphone-aksesoris,10RB+ Terjual,-35%,true,true
Cocok Untuk iPhone 7 8 6 6 S Plus mini Case  11 13 12 14 15 Pro MAX XR XS MAX 7Plus 8Plus SE 2023 iPhone She Can Casing Silikon Tahan Benturan,9.500,https://down-id.img.susercontent.com/file/id-11134207-7r98u-lmk3dsffs1vy82_tn,handphone-aksesoris,"5,9RB Terjual",-50%,true,true
New! ULTRA PLATE METALLIC - Fullcover Softcase for iPhoneX XR XSMAX 11 11PRO 11PROMAX 12 13 PRO PROMAX XR XSMAX 14 14PLUS 14PRO 14PROMAX,12.650,https://down-id.img.susercontent.com/file/sg-11134201-22120-brwbwwdxirkv22_tn,handphone-aksesoris,10RB+ Terjual,-77%,true,true
PUNING PowerBank 60000mAh 4 USB Fast Charging,112.100,https://down-id.img.susercontent.com/file/id-11134207-7qul0-lhev58o0npfj98_tn,handphone-aksesoris,10RB+ Terjual,-5%,true,true
Premium Camera List Plating Full Cover Case for iPhone 11 12 13 14 Pro Max,28.800,https://down-id.img.susercontent.com/file/id-11134207-7qul1-lhyhjuqjysx028_tn,handphone-aksesoris,10RB+ Terjual,-42%,true,true
ONE-C394 Headset Macaron Matte Color U19 Hifi / Handsfree Mate Colorfull Earphone Hifi Extra Bass / Hansfree Stereo U19 Warna Warni,4.150,https://down-id.img.susercontent.com/file/20e6250624954bf7b1bcc11000b620eb_tn,handphone-aksesoris,10RB+ Terjual,-76%,true,true
FS Kartu Perdana XL Xtra Combo Flex XXXL,80.000,https://down-id.img.susercontent.com/file/id-11134207-7r991-lmwmm1knwjrbca_tn,handphone-aksesoris,10RB+ Terjual,-49%,true,true
WEWANT Gamepad Android Bluetooth Wireless X3 IOS Windows Controller Joystick,75.900,https://down-id.img.susercontent.com/file/sg-11134201-7rbki-lmpjm0aiyt6zfe_tn,handphone-aksesoris,10RB+ Terjual,-53%,true,true
Terbaru!!! TWS Powerbank M10 Heandseat Bluetooh M10 Wireless 3500mAh,39.500,https://down-id.img.susercontent.com/file/id-11134207-7r990-lma5i0u9ore358_tn,handphone-aksesoris,"3,8RB Terjual",>80% off,true,true
